MPM,MUSIC
8897.17718879251,0.08999999999999997
10757.169650833695,-0.32999999999999996
9085.280467939496,-0.28
10716.016952064205,-0.06
9524.785079134761,0.19000000000000006
10868.891587580112,0.050000000000000044
8829.973506902003,0.08999999999999997
10935.816679271245,-0.020000000000000018
10872.91904778914,0.15000000000000002
10855.164361308392,-0.32999999999999996
10692.731692948775,-0.09999999999999998
10840.859059765991,0.06000000000000005
10806.254540002168,-0.31
10892.257040659586,-0.42
8941.026528040567,-0.07
8538.182207753458,-0.5
9170.89638166403,0.14
8945.47252170031,0.06000000000000005
10821.24162173801,-0.32999999999999996
9372.16761233383,0.19000000000000006
8647.274151314437,-0.27
8379.738082029833,-0.19
10857.104859192576,0.30000000000000004
10864.074063144513,-0.19
10649.538532786126,0.20000000000000007
9159.796962767918,-0.10999999999999999
8865.45991966264,0.20000000000000007
10851.821836631716,0.29000000000000004
10961.95718735915,-0.27
10748.923752225193,-0.15999999999999998
10928.290669739701,-0.26
10985.102464697828,-0.32
10809.93081116853,-0.26
9502.455483751068,-0.28
10758.776633343574,0.030000000000000027
10769.777833283837,-0.3
10748.511706260399,-0.13
9428.306760871803,-0.02999999999999997
10537.93579934844,0.08999999999999997
10783.916144057834,0.13
10849.155920546295,0.18000000000000005
10937.566210148452,0.13
10906.659201130722,-0.25
10715.504358341259,0.20999999999999996
10825.701390087157,0.09999999999999998
10918.302589532983,-0.16999999999999998
10723.745400723545,0.17000000000000004
10722.530208906694,-0.5
10871.131575964448,-0.16999999999999998
10815.56951175266,0.010000000000000009
10823.939210236962,-0.19
10745.372328477748,0.07000000000000006
10856.81800450739,0.43000000000000005
9209.402912603176,0.20999999999999996
10780.182656416253,-0.2
9285.97212609962,-0.36
10854.23252982524,0.45000000000000007
10819.450024344704,-0.22999999999999998
10800.186376429316,-0.02999999999999997
10688.007286795735,0.15000000000000002
10793.592552719962,-0.44
10858.209480314435,-0.29000000000000004
10862.504160079667,-0.27
9394.887020281294,0.45000000000000007
10815.160493486383,0.43000000000000005
10895.711169410299,-0.08999999999999997
9579.48841041647,-0.21000000000000002
9238.544694784763,0.07999999999999996
10921.021938715598,0.18000000000000005
10708.906778244746,0.07999999999999996
9176.524800651432,0.32000000000000006
9088.465262064567,-0.19
10826.827620427412,0.19000000000000006
10764.957834308067,0.0
9362.089584733118,0.15000000000000002
8995.171480339812,0.19000000000000006
10752.625701566463,0.10999999999999999
8733.937522461483,-0.25
10909.704926410705,-0.19
9113.895065931658,0.19000000000000006
10865.768774792665,0.19000000000000006
10973.963174276025,-0.48
10870.711523865208,0.050000000000000044
10858.938246356316,0.44000000000000006
10768.643508575775,0.12
10870.93191873056,-0.07
10721.208049871271,0.16000000000000003
9309.068906670647,0.07000000000000006
8906.819956887442,-0.42
9207.987417870167,0.18000000000000005
9145.786972786811,-0.2
10889.898002337692,0.15000000000000002
10939.385507410223,-0.26
9458.234847336438,0.32000000000000006
