MPM,MUSIC,F1 Values,F2 Values,Energy Values,Spectral Magnitudes,Spectral Peaks,Speaking Rate,Pitch Peaks,Loudness Values,Pitch Counter,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13
8710.550739865785,0.06,,,8.340154e-06,205.66273,375.0,56.28571428571428,310,8.340154e-06,146,-155.7892,187.6422,-61.300358,-1.0324814,29.04461,-10.391298,3.523773,-7.066249,-13.165745,3.523197,-11.473194,-10.797717,3.052457
6504.877162266754,-0.2299999999999999,1075.8641897353657,1873.6852910663167,0.0011469692,1066.2303,328.125,84.85714285714285,40,0.0011469692,90,-134.23549,183.996,-49.928303,8.708738,27.350138,-14.414025,-1.0243714,-3.4273233,-5.438739,0.661052,-10.231583,-6.167561,-3.3526511
8710.550739865785,0.06,817.8964188519454,1900.47433994814,0.004718877,6433.294,375.0,56.28571428571428,80,0.004718877,161,-155.7892,187.6422,-61.300358,-1.0324814,29.04461,-10.391298,3.523773,-7.066249,-13.165745,3.523197,-11.473194,-10.797717,3.052457
7221.76675890402,0.16,904.3550762609302,2043.653201803468,0.04746737,12324.918,398.4375,82.85714285714285,48,0.04746737,94,-143.6839,178.08376,-49.480686,1.8367597,20.935743,-10.472664,7.6245704,-5.028632,-11.166666,4.529143,-9.945846,-10.587278,1.6725674
8114.453895077082,0.28,1041.3586623077642,2156.448553833652,0.10809401,16814.938,328.125,71.71428571428571,47,0.10809401,17,-163.09439,187.56033,-57.91432,5.1101527,27.74044,-6.0408945,7.916565,-7.508022,-7.2594776,8.56298,-8.380696,-7.2205243,0.20729297
8480.670275912342,-0.1699999999999999,384.9682562914586,1360.6534774049487,0.16012317,18634.283,398.4375,70.28571428571428,47,0.16012317,17,-156.223511,185.776489,-44.214325,3.07024336,21.1520462,-16.4460144,-0.0557533577,-4.79035234,-7.30148888,4.22707605,-12.3048315,-10.2145224,0.705759227
8007.861938421076,-0.38,1230.9290999387274,2389.6556210642475,0.19259945,19539.148,328.125,80.57142857142856,48,0.19259945,5,-133.11292,185.41452,-47.731953,5.9336247,22.711637,-9.961887,7.5729165,-4.9568663,-9.262219,2.2055912,-11.904392,-7.679112,-1.3191786
6579.918197922711,-0.3399999999999999,675.3848807144338,1110.0882363509374,0.20635878,19166.924,398.4375,95.71428571428572,98,0.20635878,15,-167.8553,185.93214,-50.44695,12.029353,18.40714,-13.837025,5.7246437,-6.9623046,-3.6275928,5.2395835,-11.86888,-6.3698196,-1.5691143
7103.095958549719,0.03,575.3918065985611,1272.5114739891044,0.19672562,18053.828,328.125,82.85714285714285,98,0.19672562,14,-132.39854,170.04741,-46.51553,10.066369,20.129269,-10.365935,4.616627,-6.1087785,-3.6114562,2.9011455,-12.681119,-6.0669465,0.35916424
7149.823994771066,-0.2199999999999999,638.680660393522,1010.6740291217358,0.18167353,14279.717,398.4375,82.85714285714285,97,0.18167353,16,-133.55754,173.3184,-55.447983,18.606724,27.306429,-10.581767,3.7272856,-8.102195,-3.6356833,3.6214783,-11.472356,-5.990012,-2.5802152
