F1 Values,F2 Values,Energy Values,MFCC Values,Spectral Magnitudes,Spectral Peaks,Speaking Rate,Pitch Peaks,Loudness Values,Pitch Counter
nan,nan,0.15444367,"[-132.75554     193.28828      -4.35981       6.4596305    17.085045
  -14.924626      2.4695575     4.39933     -13.054794     -8.347399
  -11.207626     -9.23596       0.81844634]",17367.287,[ 93.75   210.9375 304.6875],34.57142857142857,52,0.15444367,10
nan,nan,0.116850756,"[-136.99353    219.71553     -2.1346965   -3.733195    11.097453
  -15.323684     4.216451     9.365632    -8.081768    -8.82658
  -15.021423   -10.368605     3.081215 ]",14650.434,[ 70.3125 140.625  304.6875],26.857142857142854,52,0.116850756,12
nan,nan,0.13761699,"[-142.47137    213.33093     -2.177384     5.9149647   12.544844
  -18.089691     5.0964828    1.7230204  -17.2954      -5.2233615
   -9.333102    -9.757821     4.5343943]",12829.445,[ 23.4375 164.0625 351.5625],34.857142857142854,49,0.13761699,86
nan,nan,0.1451446,"[-153.4763     190.56058     -5.723769     2.3134956   24.21462
   -1.9412146    3.0798302   -3.3272526  -16.927776    -6.5924153
   -9.94397    -13.766389    -5.001362 ]",9251.127,[ 23.4375 187.5    398.4375],39.99999999999999,177,0.1451446,52
nan,nan,0.18281315,"[-1.3009851e+02  2.0748366e+02 -7.3053589e+00 -5.3670182e+00
  1.7359566e+01 -1.0472326e+01 -2.1077797e+00 -9.0115974e-03
 -1.4135929e+01 -1.0925506e+01 -1.1031449e+01 -4.9029875e+00
  3.3509321e+00]",11644.523,[ 46.875  210.9375 304.6875],28.571428571428566,48,0.18281315,35
nan,nan,0.17927922,"[-129.70216    224.21136    -24.34565     -4.441728    24.60737
  -12.530384    -2.383873     1.9394715  -13.337325   -12.412471
  -13.252365    -4.607249     2.8089328]",15812.506,[ 46.875  140.625  398.4375],34.57142857142857,50,0.17927922,16
nan,nan,0.1677427,"[-125.26557    214.59364     -9.457194    -1.9407488   17.99491
  -12.724747     0.6531496    0.5827904  -17.66122    -10.518061
   -7.3599977   -4.9894605   -2.1209338]",16545.252,[ 23.4375 234.375  351.5625],44.857142857142854,123,0.1677427,24
nan,nan,0.13150994,"[-118.90231    189.41133      1.3596371    5.366073    14.823836
  -14.532248     2.5169473    5.387941   -13.514467    -8.9372425
   -7.7273054   -8.547287    -5.405494 ]",15021.72,[ 93.75   210.9375 398.4375],29.14285714285714,45,0.13150994,18
nan,nan,0.15668508,"[-125.1712     231.17317    -26.072842    -8.299012    22.03497
  -13.249413     1.8341134    3.0502303  -17.71397     -9.799977
   -5.2340264   -1.2938592    1.4951291]",15388.575,[ 46.875 234.375],31.71428571428571,51,0.15668508,8
nan,nan,0.19068132,"[-124.90204    221.74773     -6.9690742   -1.9976662   11.220647
  -11.193808    11.458248     5.6606536  -13.6700325   -5.2180533
   -9.33871     -8.197637     3.2976184]",14829.241,[ 93.75   304.6875 398.4375],42.57142857142856,51,0.19068132,13
nan,nan,0.203991,"[-128.28838    216.24942    -15.629793    -1.3851479    8.99967
  -20.344328     6.3656116    3.4888756  -17.726475    -7.5578475
   -6.807116    -4.6085567    1.653173 ]",14754.111,[ 46.875 140.625 234.375 375.   ],46.28571428571428,51,0.203991,12
