MPM,MUSIC,F1 Values,F2 Values,Energy Values,Spectral Magnitudes,Spectral Peaks,Speaking Rate,Pitch Peaks,Loudness Values,Pitch Counter,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13
,-0.19,,,2.5391866e-05,364.13287,398.4375,23.71428571428571,161,2.5391866e-05,195,-136.07558,214.96169,-15.694001,-1.8016058,16.510765,-15.220174,3.2352922,4.322225,-14.790398,-8.957009,-7.44142,-4.178694,-0.6108608
8555.343423835337,-0.1499999999999999,858.9727795001562,2204.7721070463604,0.0026913653,851.79785,351.5625,68.28571428571428,35,0.0026913653,49,-134.2056,208.7991,-7.2073941,-7.4072418,16.411488,-7.1840663,1.7933449,2.9450314,-10.497126,-6.9134312,-7.8371797,-6.6813855,-0.15702458
10934.931791762436,-0.35,271.657242248152,1513.3291552679027,0.0077005364,1309.7632,351.5625,20.57142857142857,68,0.0077005364,37,-119.47332,214.80397,-2.2313151,-6.4064775,15.486664,-16.201258,-5.624604,7.916059,-7.1271625,-12.877739,-18.319374,-16.650553,-1.3928924
9326.119177676152,0.48,1025.361315554378,1710.9131772261828,0.009177514,4640.708,398.4375,43.14285714285714,67,0.009177514,69,-148.96608,196.38945,-14.045664,-10.711644,14.329168,-6.135874,5.3030553,0.28716213,-18.720327,-11.1711035,-8.093672,-5.8331404,-0.8216698
8860.023327928908,-0.38,752.0095787586898,1420.5013932253837,0.055822685,11769.35,351.5625,48.85714285714285,66,0.055822685,105,-143.74556,203.71536,-1.5542415,-1.8256739,12.655659,-12.30155,1.4696708,2.1131508,-11.1087475,-5.7333007,-9.731656,-8.698227,0.9772941
6637.64106268726,0.2199999999999999,543.4676918915114,1679.107111025365,0.17711933,16194.436,304.6875,93.42857142857142,48,0.17711933,12,-134.13048,218.81558,-12.269839,-0.14263456,11.51653,-11.356772,10.149074,2.1903622,-15.118645,-7.4984274,-9.8060369,-6.5981011,0.32610458
8787.740509131225,0.04,438.5218967209567,1477.3510397003429,0.22852407,19020.37,398.4375,67.99999999999999,58,0.22852407,11,-141.23576,211.99617,-4.6321807,-8.2217512,15.950105,-8.7208538,-0.16797484,3.6964633,-8.7325506,-4.9047661,-7.3623075,-9.4757652,-1.9350774
8540.975603553337,-0.49,302.55486046892844,1198.5340709567877,0.25683525,13530.524,351.5625,70.57142857142856,30,0.25683525,7,-122.457886,211.119598,1.34518039,-11.9820147,7.01607466,-9.22906971,3.86701298,3.35912442,-11.9148359,-7.50651884,-8.49611473,-7.59953451,0.184348688
6511.939861411084,0.47,575.0043255067319,923.5233586281272,0.21455497,14531.692,328.125,87.71428571428571,30,0.21455497,15,-151.81224,214.38495,-1.5957125,-7.6864567,12.665143,-6.0026784,5.6812916,1.2290057,-13.053232,-6.714407,-10.418525,-7.540976,1.6713017
7783.081917264841,-0.38,807.7392757747082,2250.816107009769,0.21238682,12968.297,187.5,84.57142857142856,30,0.21238682,28,-138.48137,206.55328,-6.708451,-4.285254,11.752408,-10.145204,8.816025,4.797123,-14.292038,-6.0494313,-7.5682993,-6.5849323,1.3700879
7301.508159710905,-0.1499999999999999,622.0170997168625,1669.108519154308,0.17430882,19733.791,351.5625,79.71428571428571,31,0.17430882,5,-130.93205,201.93782,-5.2991276,0.030531693,15.971811,-8.3664532,6.7984571,3.2028263,-15.841278,-9.5544043,-7.5146394,-5.630065,-0.28850287
8555.343423835337,-0.1499999999999999,1782.2893067367472,2576.1090264606178,0.21810515,16605.236,398.4375,68.28571428571428,30,0.21810515,28,-134.2056,208.7991,-7.2073941,-7.4072418,16.411488,-7.1840663,1.7933449,2.9450314,-10.497126,-6.9134312,-7.8371797,-6.6813855,-0.15702458
9128.993144843414,0.18,487.4038503894417,1186.9286098887665,0.19670576,18291.26,281.25,46.85714285714285,106,0.19670576,29,-141.28241,221.84657,-1.1439234,-8.183584,15.148718,-6.118056,1.7124579,1.581347,-9.4511595,-5.564288,-10.066235,-8.290929,1.5982382
